titre,entreprise,ville,contrat,date,lien,source
Crédit Manager,CFAO,"Dakar,
                                                                                Dakar",CFAO,"Hier, 11:37",https://www.expat-dakar.com/annonce/credit-manager-6681011,expat-dakar.com
Superviseur des cultures et des contrats d’achat (H/F),RportH SAS,"Saint-Louis,
                                                                                Saint-Louis",RportH SAS,"Hier, 11:33",https://www.expat-dakar.com/annonce/superviseur-des-cultures-et-des-contrats-dachat-hf-6680990,expat-dakar.com
cuisinier,bergmann hotel,"Matam,
                                                                                Matam",bergmann hotel,"Hier, 10:56",https://www.expat-dakar.com/annonce/cuisinier-6680373,expat-dakar.com
Femme de ménage,N/A,"Nord foire,
                                                                                Dakar",,"mardi, 19:31",https://www.expat-dakar.com/annonce/femme-de-menage-6680280,expat-dakar.com
Recruteur / RH,Entreprise en croissance,"Dakar,
                                                                                Dakar",Entreprise en croissance,"mardi, 14:43",https://www.expat-dakar.com/annonce/recruteur-rh-6679861,expat-dakar.com
"Manucure, pédicure et soin du visage",Les Bôs,"Almadies,
                                                                                Dakar",Les Bôs,"mardi, 13:17",https://www.expat-dakar.com/annonce/manucure-pedicure-et-soin-du-visage-6679689,expat-dakar.com
Ingénieurs Statisticiens,Sen Interim,"Dakar,
                                                                                Dakar",Sen Interim,"mardi, 12:27",https://www.expat-dakar.com/annonce/ingenieurs-statisticiens-6679629,expat-dakar.com
02 Auditeurs Seniors,Grant Thornton Sénégal,"Dakar,
                                                                                Dakar",Grant Thornton Sénégal,"mardi, 12:23",https://www.expat-dakar.com/annonce/02-auditeurs-seniors-6679622,expat-dakar.com
Demande,N/A,"Kounoune,
                                                                                Dakar",,"mardi, 02:04",https://www.expat-dakar.com/annonce/demande-6678749,expat-dakar.com
Cherche femme de ménage,N/A,"Almadies,
                                                                                Dakar",,"lundi, 19:51",https://www.expat-dakar.com/annonce/cherche-femme-de-menage-6678590,expat-dakar.com
Nous recrutons un(e) Agent Commercial(e) Terrain !,GF NUMERIK,"Patte d‘oie,
                                                                                Dakar",GF NUMERIK,"vendredi, 10:37",https://www.expat-dakar.com/annonce/nous-recrutons-une-agent-commerciale-terrain-6676022,expat-dakar.com
